Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
25701,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2003,56,
25702,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2004,43.4,
25703,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2005,46.6,
25705,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2007,37.5,
54954,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2008,177.4,
54955,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2008,74.9,
54956,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2008,66.1,
54957,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2008,76.7,
54958,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2008,37.8,
75104,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2009,183.5,
75105,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2009,84.8,
75106,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2009,66.2,
75107,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2009,73.9,
75108,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2009,43.4,
127091,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2011,146,
127093,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2011,67.2,
127095,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2011,58.8,
127097,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2011,53.5,
127099,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2011,30.4,
154791,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2012,148.8,
154793,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2012,64.1,
154795,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2012,57.4,
154797,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2012,53.2,
154799,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2012,36.8,
189857,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2013,145.9,
189858,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2013,56.9,
189859,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2013,53.1,
189860,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2013,45.1,
189861,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2013,34,
492572,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2016,123.4,
492573,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2016,50.4,
492574,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2016,51.4,
492575,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2016,38.6,
492576,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2016,41.3,
519315,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,1,Bronx,2015,130.2,
519316,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,2,Brooklyn,2015,52,
519317,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,3,Manhattan,2015,48.5,
519318,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,4,Queens,2015,41,
519319,155,1,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,Borough,Borough,5,Staten Island,2015,30.3,
25186,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,1998,1845,
25187,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,1998,1855,
25188,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,1998,957,
25189,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,1998,1116,
25190,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,1998,154,
25191,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,1999,2221,
25192,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,1999,2352,
25193,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,1999,1131,
25194,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,1999,1569,
25195,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,1999,170,
25196,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2000,1822,
25197,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2000,1764,
25198,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2000,752,
25199,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2000,1248,
25200,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2000,141,
25201,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2001,1876,
25202,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2001,1906,
25203,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2001,825,
25204,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2001,1261,
25205,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2001,156,
25211,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2003,2271,
25212,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2003,2129,
25213,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2003,764,
25214,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2003,1266,
25215,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2003,161,
25216,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2004,2002,
25217,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2004,1863,
25218,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2004,674,
25219,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2004,1160,
25220,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2004,124,
25221,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2005,1791,
25222,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2005,1481,
25223,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2005,597,
25224,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2005,1026,
